timestamp,case_id,resource,z3_initial,llm_attempts,hallucination,z3_final,retry_history
23:04:04,AB_01_vault_unencrypted,AB,"FAIL: Cloud Perimeter Model — Z3 SAT counterexample for aws_backup_vault (KMS key). Model: NetworkZone=DMZ, EncryptionLevel=UNENCRYPTED, SensitiveData=1. Violated: INV-2: sensitive data is unencrypted. SMT: ∃(zone,enc,sens). ¬(INV-1 ∧ INV-2 ∧ INV-3) = SAT.",5,True,FAIL: aws_kms_key has key rotation disabled. Set enable_key_rotation = true. Also ensure Principal is not wildcard (*) in the key policy.,"FAIL: aws_kms_key has key rotation disabled. Set enable_key_rotation = true. Also ensure Principal is not wildcard (*) in the key policy. | FAIL: Cloud Perimeter Model — Z3 SAT counterexample for aws_kms_key_policy. Model: NetworkZone=DMZ, EncryptionLevel=UNENCRYPTED, SensitiveData=1. Violated: INV-2: sensitive data is unencrypted. SMT: ∃(zone,enc,sens). ¬(INV-1 ∧ INV-2 ∧ INV-3) = SAT. | FAIL: aws_kms_key has key rotation disabled. Set enable_key_rotation = true. Also ensure Principal is not wildcard (*) in the key policy. | FAIL: Cloud Perimeter Model — Z3 SAT counterexample for aws_kms_key_policy. Model: NetworkZone=DMZ, EncryptionLevel=UNENCRYPTED, SensitiveData=1. Violated: INV-2: sensitive data is unencrypted. SMT: ∃(zone,enc,sens). ¬(INV-1 ∧ INV-2 ∧ INV-3) = SAT. | FAIL: aws_kms_key has key rotation disabled. Set enable_key_rotation = true. Also ensure Principal is not wildcard (*) in the key policy."
23:04:09,ACM_01_wildcard_certificate,ACM,FAIL: ACM certificate uses a wildcard domain (*.domain.com) — high blast radius if key is compromised.,1,False,PASS: Formal Verification Successful.,PASS: Formal Verification Successful.
23:10:37,ALB_02_waf_not_associated,ALB,FAIL: ALB is missing an aws_wafv2_web_acl_association.,5,True,FAIL: ELB access logging is disabled/missing.,FAIL: ELB access logging is disabled/missing. | FAIL: ALB is missing an aws_wafv2_web_acl_association. | FAIL: ELB access logging is disabled/missing. | FAIL: ALB is missing an aws_wafv2_web_acl_association. | FAIL: ELB access logging is disabled/missing.
23:10:42,APIGW_01_missing_logging,APIGW,FAIL: API Gateway Logging missing.,1,False,PASS: Formal Verification Successful.,PASS: Formal Verification Successful.
23:10:44,APIGW_02_authorization_none,APIGW,FAIL: API Gateway method has no authorization.,1,False,PASS: Formal Verification Successful.,PASS: Formal Verification Successful.
23:10:49,APPRUN_01_missing_encryption,APPRUN,"FAIL: Cloud Perimeter Model — Z3 SAT counterexample for aws_apprunner_service. Model: NetworkZone=DMZ, EncryptionLevel=UNENCRYPTED, SensitiveData=1. Violated: INV-2: sensitive data is unencrypted. SMT: ∃(zone,enc,sens). ¬(INV-1 ∧ INV-2 ∧ INV-3) = SAT.",2,False,"PASS: FORMAL PROOF COMPLETE ✓ | APPRUN_01_missing_encryption | Solver A (completeness): COMPLETE: Z3 UNSAT — patch satisfies Cloud Perimeter Model. ∀(zone,enc,sens). INV-1 ∧ INV-2 ∧ INV-3 holds for patched config. | Solver B (soundness): SOUND: Z3 UNSAT — it is IMPOSSIBLE for the patched config to simultaneously satisfy the patch constraints AND retain the original violation. Non-regression formally proven via CPM.","FAIL: aws_kms_key has key rotation disabled. Set enable_key_rotation = true. Also ensure Principal is not wildcard (*) in the key policy. | PASS: FORMAL PROOF COMPLETE ✓ | APPRUN_01_missing_encryption | Solver A (completeness): COMPLETE: Z3 UNSAT — patch satisfies Cloud Perimeter Model. ∀(zone,enc,sens). INV-1 ∧ INV-2 ∧ INV-3 holds for patched config. | Solver B (soundness): SOUND: Z3 UNSAT — it is IMPOSSIBLE for the patched config to simultaneously satisfy the patch constraints AND retain the original violation. Non-regression formally proven via CPM."
23:10:55,ASG_01_public_ip_enabled,ASG,"FAIL: Cloud Perimeter Model — Z3 SAT counterexample for ASG public IP. Model: NetworkZone=INTERNET, EncryptionLevel=UNENCRYPTED, SensitiveData=1. Violated: INV-1: sensitive data is internet-accessible; INV-2: sensitive data is unencrypted; INV-3: internet-facing resource is unencrypted. SMT: ∃(zone,enc,sens). ¬(INV-1 ∧ INV-2 ∧ INV-3) = SAT.",1,False,"PASS: PATCH REJECTED (completeness failure) | INCOMPLETE: Z3 SAT counterexample in patch — PATCH_Zone=DMZ, PATCH_Enc=UNENCRYPTED. Patch does not fully satisfy Cloud Perimeter invariants.","PASS: PATCH REJECTED (completeness failure) | INCOMPLETE: Z3 SAT counterexample in patch — PATCH_Zone=DMZ, PATCH_Enc=UNENCRYPTED. Patch does not fully satisfy Cloud Perimeter invariants."
23:10:56,AS_01_api_key_auth_only,AS,FAIL: AppSync API uses API_KEY authentication (weak shared secret). Use AWS_IAM or OPENID_CONNECT.,1,False,PASS: Formal Verification Successful.,PASS: Formal Verification Successful.
23:11:00,ATH_01_workgroup_enforce_config_disabled,ATH,"FAIL: Cloud Perimeter Model — Z3 SAT counterexample for aws_athena_workgroup. Model: NetworkZone=DMZ, EncryptionLevel=UNENCRYPTED, SensitiveData=1. Violated: INV-2: sensitive data is unencrypted. SMT: ∃(zone,enc,sens). ¬(INV-1 ∧ INV-2 ∧ INV-3) = SAT.",1,False,"PASS: FORMAL PROOF COMPLETE ✓ | ATH_01_workgroup_enforce_config_disabled | Solver A (completeness): COMPLETE: Z3 UNSAT — patch satisfies Cloud Perimeter Model. ∀(zone,enc,sens). INV-1 ∧ INV-2 ∧ INV-3 holds for patched config. | Solver B (soundness): SOUND: Z3 UNSAT — it is IMPOSSIBLE for the patched config to simultaneously satisfy the patch constraints AND retain the original violation. Non-regression formally proven via CPM.","PASS: FORMAL PROOF COMPLETE ✓ | ATH_01_workgroup_enforce_config_disabled | Solver A (completeness): COMPLETE: Z3 UNSAT — patch satisfies Cloud Perimeter Model. ∀(zone,enc,sens). INV-1 ∧ INV-2 ∧ INV-3 holds for patched config. | Solver B (soundness): SOUND: Z3 UNSAT — it is IMPOSSIBLE for the patched config to simultaneously satisfy the patch constraints AND retain the original violation. Non-regression formally proven via CPM."
23:42:12,BATCH_01_privileged_container,BATCH,FAIL: aws_batch_job_definition is running in privileged mode.,5,True,FAIL: aws_batch_job_definition is running in privileged mode.,FAIL: aws_batch_job_definition is running in privileged mode. | FAIL: aws_batch_job_definition is running in privileged mode. | FAIL: aws_batch_job_definition is running in privileged mode. | FAIL: aws_batch_job_definition is running in privileged mode. | FAIL: aws_batch_job_definition is running in privileged mode.
