timestamp,case_id,tf_file,z3_initial,llm_attempts,hallucination,z3_final,retry_history,result
00:47:03,wild_alb.tf,wild_alb.tf,FAIL: ALB is missing an aws_wafv2_web_acl_association.,4,False,PASS: Formal Verification Successful.,FAIL: WAF Web ACL has no rate-based rule (DDoS protection missing). | FAIL: WAF Web ACL has no rate-based rule (DDoS protection missing). | FAIL: WAF Web ACL has no rate-based rule (DDoS protection missing). | PASS: Formal Verification Successful.,FIXED
00:47:08,wild_cloudfront.tf,wild_cloudfront.tf,FAIL: S3 Public Access Block disabled.,1,False,PASS: PATCH REJECTED (regression risk) | REGRESSION RISK: Z3 SAT - both broken and patched configs violate Cloud Perimeter invariants simultaneously. LLM patch is insufficient for external_wild_cases.,PASS: PATCH REJECTED (regression risk) | REGRESSION RISK: Z3 SAT - both broken and patched configs violate Cloud Perimeter invariants simultaneously. LLM patch is insufficient for external_wild_cases.,FIXED
00:47:20,wild_dynamodb.tf,wild_dynamodb.tf,FAIL: aws_dynamodb_table has point_in_time_recovery disabled.,5,True,FAIL: aws_kms_key has key rotation disabled. Set enable_key_rotation = true. Also ensure Principal is not wildcard (*) in the key policy.,"FAIL: aws_kms_key has key rotation disabled. Set enable_key_rotation = true. Also ensure Principal is not wildcard (*) in the key policy. | FAIL: Cloud Perimeter Model - Z3 SAT counterexample for aws_kms_key_policy. Model: NetworkZone=DMZ, EncryptionLevel=UNENCRYPTED, SensitiveData=1. Violated: INV-2: sensitive data is unencrypted. SMT: ∃(zone,enc,sens). ¬(INV-1 ∧ INV-2 ∧ INV-3) = SAT. | FAIL: aws_kms_key has key rotation disabled. Set enable_key_rotation = true. Also ensure Principal is not wildcard (*) in the key policy. | FAIL: Cloud Perimeter Model - Z3 SAT counterexample for aws_kms_key_policy. Model: NetworkZone=DMZ, EncryptionLevel=UNENCRYPTED, SensitiveData=1. Violated: INV-2: sensitive data is unencrypted. SMT: ∃(zone,enc,sens). ¬(INV-1 ∧ INV-2 ∧ INV-3) = SAT. | FAIL: aws_kms_key has key rotation disabled. Set enable_key_rotation = true. Also ensure Principal is not wildcard (*) in the key policy.",HALLUCINATION
00:47:52,wild_ebs_vol.tf,wild_ebs_vol.tf,"FAIL: Cloud Perimeter Model - Z3 SAT counterexample for aws_ebs_volume. Model: NetworkZone=DMZ, EncryptionLevel=UNENCRYPTED, SensitiveData=1. Violated: INV-2: sensitive data is unencrypted. SMT: ∃(zone,enc,sens). ¬(INV-1 ∧ INV-2 ∧ INV-3) = SAT.",5,True,FAIL: aws_kms_key has key rotation disabled. Set enable_key_rotation = true. Also ensure Principal is not wildcard (*) in the key policy.,"FAIL: aws_kms_key has key rotation disabled. Set enable_key_rotation = true. Also ensure Principal is not wildcard (*) in the key policy. | FAIL: Cloud Perimeter Model - Z3 SAT counterexample for aws_volume_attachment. Model: NetworkZone=DMZ, EncryptionLevel=UNENCRYPTED, SensitiveData=1. Violated: INV-2: sensitive data is unencrypted. SMT: ∃(zone,enc,sens). ¬(INV-1 ∧ INV-2 ∧ INV-3) = SAT. | FAIL: aws_kms_key has key rotation disabled. Set enable_key_rotation = true. Also ensure Principal is not wildcard (*) in the key policy. | FAIL: Cloud Perimeter Model - Z3 SAT counterexample for aws_volume_attachment. Model: NetworkZone=DMZ, EncryptionLevel=UNENCRYPTED, SensitiveData=1. Violated: INV-2: sensitive data is unencrypted. SMT: ∃(zone,enc,sens). ¬(INV-1 ∧ INV-2 ∧ INV-3) = SAT. | FAIL: aws_kms_key has key rotation disabled. Set enable_key_rotation = true. Also ensure Principal is not wildcard (*) in the key policy.",HALLUCINATION
00:48:12,wild_eks_cluster.tf,wild_eks_cluster.tf,FAIL: EKS cluster endpoint_private_access is disabled.,2,False,"PASS: FORMAL PROOF COMPLETE ✓ | external_wild_cases | Solver A (completeness): COMPLETE: Z3 UNSAT - patch satisfies Cloud Perimeter Model. ∀(zone,enc,sens). INV-1 ∧ INV-2 ∧ INV-3 holds for patched config. | Solver B (soundness): SOUND: Z3 UNSAT - it is IMPOSSIBLE for the patched config to simultaneously satisfy the patch constraints AND retain the original violation. Non-regression formally proven via CPM.","FAIL: aws_kms_key has key rotation disabled. Set enable_key_rotation = true. Also ensure Principal is not wildcard (*) in the key policy. | PASS: FORMAL PROOF COMPLETE ✓ | external_wild_cases | Solver A (completeness): COMPLETE: Z3 UNSAT - patch satisfies Cloud Perimeter Model. ∀(zone,enc,sens). INV-1 ∧ INV-2 ∧ INV-3 holds for patched config. | Solver B (soundness): SOUND: Z3 UNSAT - it is IMPOSSIBLE for the patched config to simultaneously satisfy the patch constraints AND retain the original violation. Non-regression formally proven via CPM.",FIXED
00:48:27,wild_iam_role.tf,wild_iam_role.tf,FAIL: aws_iam_role_policy policy grants Action='*' on Resource='*' - full administrator access.,1,False,PASS: Formal Verification Successful.,PASS: Formal Verification Successful.,FIXED
00:48:35,wild_kms_key.tf,wild_kms_key.tf,FAIL: aws_kms_key policy grants access to wildcard principal (*).,1,False,"PASS: FORMAL PROOF COMPLETE ✓ | external_wild_cases | Solver A (completeness): COMPLETE: Z3 UNSAT - patch satisfies Cloud Perimeter Model. ∀(zone,enc,sens). INV-1 ∧ INV-2 ∧ INV-3 holds for patched config. | Solver B (soundness): SOUND: Z3 UNSAT - it is IMPOSSIBLE for the patched config to simultaneously satisfy the patch constraints AND retain the original violation. Non-regression formally proven via CPM.","PASS: FORMAL PROOF COMPLETE ✓ | external_wild_cases | Solver A (completeness): COMPLETE: Z3 UNSAT - patch satisfies Cloud Perimeter Model. ∀(zone,enc,sens). INV-1 ∧ INV-2 ∧ INV-3 holds for patched config. | Solver B (soundness): SOUND: Z3 UNSAT - it is IMPOSSIBLE for the patched config to simultaneously satisfy the patch constraints AND retain the original violation. Non-regression formally proven via CPM.",FIXED
00:49:37,wild_lambda_func.tf,wild_lambda_func.tf,FAIL: S3 server access logging is missing.,5,True,FAIL: S3 server access logging is missing.,FAIL: S3 server access logging is missing. | FAIL: S3 server access logging is missing. | FAIL: S3 server access logging is missing. | FAIL: S3 server access logging is missing. | FAIL: S3 server access logging is missing.,HALLUCINATION
00:50:32,wild_rds_db.tf,wild_rds_db.tf,"FAIL: Cloud Perimeter Model - Z3 SAT counterexample for aws_db_subnet_group. Model: NetworkZone=DMZ, EncryptionLevel=UNENCRYPTED, SensitiveData=1. Violated: INV-2: sensitive data is unencrypted. SMT: ∃(zone,enc,sens). ¬(INV-1 ∧ INV-2 ∧ INV-3) = SAT.",5,True,"FAIL: Cloud Perimeter Model - Z3 SAT counterexample for aws_db_subnet_group. Model: NetworkZone=DMZ, EncryptionLevel=UNENCRYPTED, SensitiveData=1. Violated: INV-2: sensitive data is unencrypted. SMT: ∃(zone,enc,sens). ¬(INV-1 ∧ INV-2 ∧ INV-3) = SAT.","FAIL: Cloud Perimeter Model - Z3 SAT counterexample for aws_db_subnet_group. Model: NetworkZone=DMZ, EncryptionLevel=UNENCRYPTED, SensitiveData=1. Violated: INV-2: sensitive data is unencrypted. SMT: ∃(zone,enc,sens). ¬(INV-1 ∧ INV-2 ∧ INV-3) = SAT. | FAIL: Cloud Perimeter Model - Z3 SAT counterexample for aws_db_subnet_group. Model: NetworkZone=DMZ, EncryptionLevel=UNENCRYPTED, SensitiveData=1. Violated: INV-2: sensitive data is unencrypted. SMT: ∃(zone,enc,sens). ¬(INV-1 ∧ INV-2 ∧ INV-3) = SAT. | FAIL: Cloud Perimeter Model - Z3 SAT counterexample for aws_db_subnet_group. Model: NetworkZone=DMZ, EncryptionLevel=UNENCRYPTED, SensitiveData=1. Violated: INV-2: sensitive data is unencrypted. SMT: ∃(zone,enc,sens). ¬(INV-1 ∧ INV-2 ∧ INV-3) = SAT. | FAIL: Cloud Perimeter Model - Z3 SAT counterexample for aws_db_subnet_group. Model: NetworkZone=DMZ, EncryptionLevel=UNENCRYPTED, SensitiveData=1. Violated: INV-2: sensitive data is unencrypted. SMT: ∃(zone,enc,sens). ¬(INV-1 ∧ INV-2 ∧ INV-3) = SAT. | FAIL: Cloud Perimeter Model - Z3 SAT counterexample for aws_db_subnet_group. Model: NetworkZone=DMZ, EncryptionLevel=UNENCRYPTED, SensitiveData=1. Violated: INV-2: sensitive data is unencrypted. SMT: ∃(zone,enc,sens). ¬(INV-1 ∧ INV-2 ∧ INV-3) = SAT.",HALLUCINATION
00:50:54,wild_s3_bucket.tf,wild_s3_bucket.tf,FAIL: S3 bucket versioning is disabled.,2,False,"PASS: FORMAL PROOF COMPLETE ✓ | external_wild_cases | Solver A (completeness): COMPLETE: Z3 UNSAT - patch satisfies Cloud Perimeter Model. ∀(zone,enc,sens). INV-1 ∧ INV-2 ∧ INV-3 holds for patched config. | Solver B (soundness): SOUND: Z3 UNSAT - it is IMPOSSIBLE for the patched config to simultaneously satisfy the patch constraints AND retain the original violation. Non-regression formally proven via CPM.","FAIL: aws_kms_key has key rotation disabled. Set enable_key_rotation = true. Also ensure Principal is not wildcard (*) in the key policy. | PASS: FORMAL PROOF COMPLETE ✓ | external_wild_cases | Solver A (completeness): COMPLETE: Z3 UNSAT - patch satisfies Cloud Perimeter Model. ∀(zone,enc,sens). INV-1 ∧ INV-2 ∧ INV-3 holds for patched config. | Solver B (soundness): SOUND: Z3 UNSAT - it is IMPOSSIBLE for the patched config to simultaneously satisfy the patch constraints AND retain the original violation. Non-regression formally proven via CPM.",FIXED
